Species,Intercepto,Coeficiente,MAE,R2,Outliers
Bream,-5.0507729779440735,3.1354418856700645,0.08328202592825587,0.8900595240358823,1
Roach,-5.02521095824296,3.108151370218943,0.08985342471523902,0.9600602139220876,1
Whitefish,-5.704447405744915,3.3600386899640844,0.0663082880480174,0.9777419149625496,0
Parkki,-4.527961681462975,3.034233074311655,0.06070038665943723,0.9795518399927314,1
Perch,-5.078840317331225,3.162687827847285,0.08135073128099614,0.9889873300866897,3
Pike,-6.006614414395154,3.2010951542133017,0.07336526922174713,0.9799409597739969,1
Smelt,-5.268323414466813,2.9767952836559743,0.08496610595315054,0.9137639950957165,0
