Species,Intercepto,Coeficiente,MAE,R2,Outliers
Bream,-0.8938515745233651,0.9500945590465252,0.040041899335945555,0.8467235732764686,1
Roach,-0.5116165165999689,0.9522433932118973,0.04414124067971168,0.9101390011602017,1
Whitefish,-1.0262143392722085,1.1807521851456129,0.03632027444669369,0.9326040625692757,0
Parkki,-1.189298291210901,1.0746132816190248,0.03444906638096051,0.94622008787606,1
Perch,-0.4810572210308921,0.9873162143486031,0.05290528617932657,0.9679803169463282,3
Pike,-0.40129576286073787,0.991723599617681,0.05210088327061519,0.9146036220576149,1
Smelt,-0.5354811294156852,1.036836115090238,0.08235262830304964,0.7139444662079573,0
